stop_name,direction_id,service_date_day,delay_time
Assembly,0,2020-01-01,101.38541666666667
Assembly,0,2020-01-02,104.66025641025641
Assembly,0,2020-01-03,112.30872483221476
Assembly,0,2020-01-04,103.3157894736842
Assembly,0,2020-01-05,100.4639175257732
Assembly,0,2020-01-06,112.94039735099338
Assembly,0,2020-01-07,105.44171779141104
Assembly,0,2020-01-08,108.35761589403974
Assembly,0,2020-01-09,109.59119496855345
Assembly,0,2020-01-10,110.41025641025641
Assembly,0,2020-01-11,106.84210526315789
Assembly,0,2020-01-12,109.38947368421053
Assembly,0,2020-01-13,108.13461538461539
Assembly,0,2020-01-14,107.15384615384616
Assembly,0,2020-01-15,104.08641975308642
Assembly,0,2020-01-16,107.58490566037736
Assembly,0,2020-01-17,132.40287769784172
Assembly,0,2020-01-18,370.0285714285714
Assembly,0,2020-01-19,371.231884057971
Assembly,0,2020-01-20,105.94642857142857
Assembly,0,2020-01-21,112.90789473684211
Assembly,0,2020-01-22,108.91558441558442
Assembly,0,2020-01-23,107.57051282051282
Assembly,0,2020-01-24,163.48461538461538
Assembly,0,2020-01-25,367.3857142857143
Assembly,0,2020-01-26,336.3692307692308
Assembly,0,2020-01-27,106.31847133757962
Assembly,0,2020-01-28,105.36538461538461
Assembly,0,2020-01-29,105.83766233766234
Assembly,0,2020-01-30,104.84615384615384
Assembly,0,2020-01-31,104.59235668789809
Assembly,0,2020-02-01,103.23275862068965
Assembly,0,2020-02-02,102.19791666666667
Assembly,0,2020-02-03,106.5859872611465
Assembly,0,2020-02-04,107.00641025641026
Assembly,0,2020-02-05,106.92903225806451
Assembly,0,2020-02-06,105.375
Assembly,0,2020-02-07,135.42857142857142
Assembly,0,2020-02-08,366.0571428571429
Assembly,0,2020-02-09,347.6849315068493
Assembly,0,2020-02-10,106.81045751633987
Assembly,0,2020-02-11,108.4140127388535
Assembly,0,2020-02-12,106.53205128205128
Assembly,0,2020-02-13,106.75
Assembly,0,2020-02-14,145.1818181818182
Assembly,0,2020-02-15,355.09859154929575
Assembly,0,2020-02-16,316.2567567567568
Assembly,0,2020-02-17,106.42857142857143
Assembly,0,2020-02-18,108.0576923076923
Assembly,0,2020-02-19,106.41447368421052
Assembly,0,2020-02-20,104.61688311688312
Assembly,0,2020-02-21,105.43506493506493
Assembly,0,2020-02-22,106.41441441441441
Assembly,0,2020-02-23,100.58510638297872
Assembly,0,2020-02-24,104.6948051948052
Assembly,0,2020-02-25,106.47133757961784
Assembly,0,2020-02-26,104.00636942675159
Assembly,0,2020-02-27,117.28571428571429
Assembly,0,2020-02-28,105.10322580645162
Assembly,0,2020-02-29,102.37719298245614
Assembly,0,2020-03-01,101.69791666666667
Assembly,0,2020-03-02,107.4496644295302
Assembly,0,2020-03-03,106.1103896103896
Assembly,0,2020-03-04,109.10967741935484
Assembly,0,2020-03-05,103.00645161290322
Assembly,0,2020-03-06,102.81935483870967
Assembly,0,2020-03-07,101.05309734513274
Assembly,0,2020-03-08,102.6701030927835
Assembly,0,2020-03-09,104.65333333333334
Assembly,0,2020-03-10,108.27388535031847
Assembly,0,2020-03-11,109.18705035971223
Assembly,0,2020-03-12,106.71232876712328
Assembly,0,2020-03-13,101.47552447552448
Assembly,0,2020-03-14,99.87931034482759
Assembly,0,2020-03-15,107.58947368421053
Assembly,0,2020-03-16,100.92763157894737
Assembly,0,2020-03-17,99.56521739130434
Assembly,0,2020-03-18,100.28947368421052
Assembly,0,2020-03-19,102.09565217391304
Assembly,0,2020-03-20,99.46551724137932
Assembly,0,2020-03-21,96.70689655172414
Assembly,0,2020-03-22,98.44329896907216
Assembly,0,2020-03-23,99.22413793103448
Assembly,0,2020-03-24,98.26086956521739
Assembly,0,2020-03-25,98.65517241379311
Assembly,0,2020-03-26,98.23008849557522
Assembly,0,2020-03-27,97.69298245614036
Assembly,0,2020-03-28,100.1195652173913
Assembly,0,2020-03-29,98.97938144329896
Assembly,0,2020-03-30,99.76767676767676
Assembly,0,2020-03-31,99.5
Assembly,0,2020-04-01,96.61538461538461
Assembly,0,2020-04-02,101.02912621359224
Assembly,0,2020-04-03,99.86363636363636
Assembly,0,2020-04-04,97.98019801980197
Assembly,0,2020-04-05,100.31521739130434
Assembly,0,2020-04-06,102.06796116504854
Assembly,0,2020-04-07,102.39047619047619
Assembly,0,2020-04-08,98.63725490196079
Assembly,0,2020-04-09,106.95698924731182
Assembly,0,2020-04-10,98.65384615384616
Assembly,0,2020-04-11,97.14655172413794
Assembly,0,2020-04-12,98.98809523809524
Assembly,0,2020-04-13,106.43877551020408
Assembly,0,2020-04-14,97.48076923076923
Assembly,0,2020-04-15,98.83333333333333
Assembly,0,2020-04-16,95.94392523364486
Assembly,0,2020-04-17,99.78504672897196
Assembly,0,2020-04-18,104.14912280701755
Assembly,0,2020-04-19,101.57446808510639
Assembly,0,2020-04-20,98.53488372093024
Assembly,0,2020-04-21,99.35238095238095
Assembly,0,2020-04-22,120.88679245283019
Assembly,0,2020-04-23,97.64485981308411
Assembly,0,2020-04-24,98.73529411764706
Assembly,0,2020-04-25,97.14035087719299
Assembly,0,2020-04-26,98.70103092783505
Assembly,0,2020-04-27,98.97272727272727
Assembly,0,2020-04-28,99.03448275862068
Assembly,0,2020-04-29,96.48695652173913
Assembly,0,2020-04-30,97.64655172413794
Assembly,0,2020-05-01,100.53448275862068
Assembly,0,2020-05-02,103.80869565217391
Assembly,0,2020-05-03,106.78350515463917
Assembly,0,2020-05-04,99.01724137931035
Assembly,0,2020-05-05,97.80172413793103
